"airline","total_flights","avg_dep_delay","avg_arr_delay"
Allegiant Air,50179,13.83,13.28
JetBlue Airways,109447,18.13,12.28
Frontier Airlines Inc.,62711,15.95,11.10
ExpressJet Airlines LLC d/b/a aha!,17951,12.68,10.03
Spirit Air Lines,93200,12.95,8.03
Mesa Airlines Inc.,62477,12.15,7.31
American Airlines Inc.,371218,12.53,6.66
United Air Lines Inc.,248270,11.14,5.04
SkyWest Airlines Inc.,334986,9.40,4.02
PSA Airlines Inc.,103483,7.88,3.93
Hawaiian Airlines Inc.,31698,5.08,3.89
Envoy Air,117312,6.64,3.28
Southwest Airlines Co.,555869,10.79,3.27
Horizon Air,20237,4.79,2.38
Alaska Airlines Inc.,98294,4.55,1.10
Delta Air Lines Inc.,388475,8.02,1.09
Republic Airline,138147,5.68,0.59
Endeavor Air Inc.,109848,5.90,-1.26
