"dep_hour","total_flights","avg_dep_delay","avg_arrival_delay"
0.0,5548,11.13,1.93
1.0,2006,12.37,4.27
2.0,707,21.38,16.32
3.0,507,11.92,7.00
4.0,314,13.54,10.31
5.0,62295,3.81,-2.89
6.0,204776,3.55,-2.50
7.0,198435,3.91,-1.70
8.0,201691,4.66,-1.12
9.0,173092,5.52,-0.37
10.0,186748,6.74,0.71
11.0,185435,7.48,1.34
12.0,178985,8.86,3.16
13.0,175939,10.19,4.58
14.0,172803,11.53,6.20
15.0,173989,12.45,7.15
16.0,168206,13.64,8.53
17.0,183447,14.33,8.89
18.0,173813,15.49,9.99
19.0,153712,16.87,10.71
20.0,132435,16.52,10.38
21.0,89441,17.03,10.74
22.0,68049,16.50,10.28
23.0,21429,14.65,6.81
