"route","total_flights","avg_arr_delay"
DEN - ABE,1,1080.00
MIA - HSV,1,677.00
FCA - LGA,4,404.25
SFB - GFK,6,283.17
CHA - MSP,1,206.00
PSC - SAN,7,204.43
VPS - STC,1,198.00
GRB - FLL,1,160.00
IAD - AVL,8,158.00
IAD - LEX,7,155.00
FOD - DEN,8,150.38
KOA - BLI,1,149.00
FAR - MCO,9,137.89
OAK - BOS,5,137.00
PVU - PIE,15,136.40
ATL - FAR,6,132.67
PIE - PVU,12,124.33
SAN - AZA,6,123.33
SAV - CAK,16,123.31
MSY - GSP,2,120.00
GSP - TPA,4,117.75
IDA - PDX,13,117.15
SGU - AZA,5,114.20
FLL - ATW,8,107.38
TWF - SFO,4,103.50
SJU - CVG,1,101.00
PSM - SAV,2,100.00
IDA - SNA,13,97.23
STL - SAV,2,94.00
FNT - FLL,8,93.13
FSD - BNA,21,92.14
TPA - SWF,7,91.14
TVC - EWR,29,90.76
LAS - PVU,19,90.58
SBN - SFO,1,88.00
PIA - SRQ,24,86.54
VPS - RDU,2,85.50
MIA - CHA,2,85.50
BWI - EWR,7,84.43
SUN - ORD,29,83.21
IND - TUS,6,83.17
ECP - IND,5,82.00
MEM - VPS,22,80.86
BNA - SCE,1,79.00
EYW - AVL,21,78.14
ALB - MIA,5,75.80
CRW - IAH,13,75.77
SAN - MFR,10,74.40
PVU - LAS,15,74.33
EWR - ANC,32,73.88
